"5479959","HN299909","04/18/2007 11:00:00 AM","004XX W 63RD ST","0530","ASSAULT","AGGRAVATED: OTHER DANG WEAPON","STREET","false","false","0722","007","20","68","04A","1174536","1863158","2007","04/15/2016 08:55:02 AM","41.779899618","-87.635671477","(41.779899618, -87.635671477)"
"5480606","HN302185","04/23/2007 03:45:00 PM","062XX S STEWART AVE","0560","ASSAULT","SIMPLE","SCHOOL, PUBLIC, GROUNDS","false","false","0711","007","20","68","08A","1174692","1863689","2007","04/15/2016 08:55:02 AM","41.781353265","-87.635083754","(41.781353265, -87.635083754)"
"5497058","HN316329","05/01/2007 03:44:30 PM","061XX S ST LAWRENCE AVE","0520","ASSAULT","AGGRAVATED:KNIFE/CUTTING INSTR","STREET","false","true","0313","003","20","42","04A","1181288","1864531","2007","04/15/2016 08:55:02 AM","41.783514269","-87.610875615","(41.783514269, -87.610875615)"
"5497190","HN315671","05/01/2007 09:20:00 AM","063XX S STEWART AVE","0545","ASSAULT","PRO EMP HANDS NO/MIN INJURY","SCHOOL, PUBLIC, BUILDING","true","false","0722","007","20","68","08A","1174715","1862826","2007","04/15/2016 08:55:02 AM","41.778984586","-87.635025125","(41.778984586, -87.635025125)"
"5497495","HN315926","05/01/2007 10:35:00 AM","063XX S STEWART AVE","0545","ASSAULT","PRO EMP HANDS NO/MIN INJURY","SCHOOL, PUBLIC, BUILDING","false","false","0722","007","20","68","08A","1174715","1862826","2007","04/15/2016 08:55:02 AM","41.778984586","-87.635025125","(41.778984586, -87.635025125)"
"5504104","HN319850","05/03/2007 11:20:00 AM","064XX S DR MARTIN LUTHER KING JR DR","0530","ASSAULT","AGGRAVATED: OTHER DANG WEAPON","RESIDENCE PORCH/HALLWAY","false","false","0312","003","20","69","04A","1180029","1862330","2007","04/15/2016 08:55:02 AM","41.777503445","-87.615558861","(41.777503445, -87.615558861)"
"5510498","HN327910","05/07/2007 02:55:00 PM","064XX S STEWART AVE","0560","ASSAULT","SIMPLE","SIDEWALK","false","false","0722","007","20","68","08A","1174731","1862261","2007","04/15/2016 08:55:02 AM","41.777433807","-87.63498329","(41.777433807, -87.63498329)"
"5510830","HN328153","05/07/2007 12:00:00 PM","062XX S CHAMPLAIN AVE","0560","ASSAULT","SIMPLE","SIDEWALK","false","false","0313","003","20","42","08A","1181639","1863857","2007","04/15/2016 08:55:02 AM","41.78165665","-87.609609539","(41.78165665, -87.609609539)"
"5513121","HN329157","05/08/2007 04:50:00 AM","063XX S DR MARTIN LUTHER KING JR DR","0560","ASSAULT","SIMPLE","RESIDENCE PORCH/HALLWAY","true","false","0312","003","20","69","08A","1180014","1862897","2007","04/15/2016 08:55:02 AM","41.779059693","-87.615596501","(41.779059693, -87.615596501)"
"5533502","HN344629","05/15/2007 06:40:00 PM","065XX S DR MARTIN LUTHER KING JR DR","0560","ASSAULT","SIMPLE","APARTMENT","true","true","0312","003","20","69","08A","1180046","1861715","2007","04/15/2016 08:55:02 AM","41.775815434","-87.615515359","(41.775815434, -87.615515359)"
"5536396","HN347595","05/16/2007 08:00:00 PM","064XX S ST LAWRENCE AVE","051A","ASSAULT","AGGRAVATED: HANDGUN","RESIDENCE","false","false","0312","003","20","42","04A","1181339","1862521","2007","04/15/2016 08:55:02 AM","41.777997462","-87.610750559","(41.777997462, -87.610750559)"
"5537315","HN346521","05/16/2007 02:45:00 PM","061XX S RHODES AVE","0560","ASSAULT","SIMPLE","STREET","false","false","0313","003","20","42","08A","1180955","1864515","2007","04/15/2016 08:55:02 AM","41.783478034","-87.612096988","(41.783478034, -87.612096988)"
"5538675","HN350276","05/18/2007 10:30:00 AM","063XX S DR MARTIN LUTHER KING JR DR","051A","ASSAULT","AGGRAVATED: HANDGUN","RESIDENCE PORCH/HALLWAY","false","true","0312","003","20","69","04A","1180013","1862919","2007","04/15/2016 08:55:02 AM","41.779120086","-87.615599494","(41.779120086, -87.615599494)"
"5541232","HN347073","05/16/2007 09:50:41 PM","063XX S CALUMET AVE","0545","ASSAULT","PRO EMP HANDS NO/MIN INJURY","STREET","true","false","0312","003","20","69","08A","1179551","1862816","2007","04/15/2016 08:55:02 AM","41.778848012","-87.61729636","(41.778848012, -87.61729636)"
"5542751","HN353220","05/19/2007 09:30:00 PM","062XX S RHODES AVE","051A","ASSAULT","AGGRAVATED: HANDGUN","RESIDENCE","false","false","0313","003","20","42","04A","1180973","1863809","2007","04/15/2016 08:55:02 AM","41.781540289","-87.612052707","(41.781540289, -87.612052707)"
"5551437","HN361448","05/24/2007 01:31:01 AM","061XX S EBERHART AVE","0560","ASSAULT","SIMPLE","APARTMENT","false","false","0313","003","20","42","08A","1180634","1864477","2007","04/15/2016 08:55:02 AM","41.783381141","-87.61327504","(41.783381141, -87.61327504)"
"5552405","HN362061","05/22/2007 07:00:00 AM","062XX S STEWART AVE","0560","ASSAULT","SIMPLE","SCHOOL, PUBLIC, BUILDING","false","false","0711","007","20","68","08A","1174692","1863689","2007","04/15/2016 08:55:02 AM","41.781353265","-87.635083754","(41.781353265, -87.635083754)"
